state,action,reward
0,0,-0.01
1,1,10.0
0,1,10.0
0,1,10.0
0,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,1,10.0
0,0,10.0
1,0,10.0
2,0,20.0
3,1,20.0
0,0,20.0
1,0,20.0
2,1,30.0
0,1,40.0
0,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,0,40.0
1,0,40.0
2,0,40.0
3,0,40.0
4,0,40.0
5,0,40.0
6,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,0,40.0
1,0,40.0
2,0,40.0
3,0,40.0
4,0,40.0
5,0,40.0
6,1,40.0
0,0,40.0
1,0,40.0
2,1,40.0
0,0,40.0
1,0,40.0
2,0,40.0
3,1,40.0
0,1,40.0
0,1,40.0
0,0,40.0
1,0,40.0
2,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,1,40.0
0,1,40.0
0,0,40.0
1,1,40.0
0,0,50.0
1,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,0,50.0
2,0,50.0
3,1,50.0
0,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,1,50.0
0,1,50.0
0,0,50.0
1,1,50.0
0,1,50.0
0,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,0,50.0
2,0,50.0
3,0,50.0
4,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,1,50.0
0,1,50.0
0,0,50.0
1,0,50.0
2,0,50.0
3,0,50.0
4,0,50.0
5,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,0,60.0
1,1,60.0
0,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,1,60.0
0,0,60.0
1,1,60.0
0,1,60.0
0,1,60.0
0,1,60.0
0,1,60.0
0,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,0,60.0
3,1,60.0
0,0,60.0
1,1,60.0
0,0,60.0
1,0,60.0
2,1,60.0
0,1,60.0
0,0,60.0
1,0,60.0
2,0,70.0
3,1,70.0
0,1,70.0
0,0,70.0
1,0,70.0
2,1,70.0
0,0,70.0
1,0,70.0
2,1,70.0
0,1,70.0
0,0,70.0
1,0,70.0
2,1,70.0
0,1,70.0
0,0,70.0
1,0,70.0
2,1,70.0
0,1,90.0
0,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,0,100.0
2,0,100.0
3,0,100.0
4,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,0,100.0
7,1,100.0
0,1,100.0
0,0,100.0
1,0,100.0
2,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,0,100.0
6,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,0,100.0
2,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,0,100.0
2,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,0,100.0
2,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,0,100.0
1,0,100.0
2,0,100.0
3,0,100.0
4,0,100.0
5,1,100.0
0,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,1,100.0
0,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,1,100.0
0,0,100.0
1,0,110.0
2,1,110.0
0,0,110.0
1,0,110.0
2,1,110.0
0,1,110.0
0,1,110.0
0,1,110.0
0,0,120.0
1,1,120.0
0,1,120.0
0,1,120.0
0,0,120.0
1,0,120.0
2,1,120.0
0,1,120.0
0,1,120.0
0,0,120.0
1,1,120.0
0,0,120.0
1,1,120.0
0,0,120.0
1,1,120.0
0,0,120.0
1,1,130.0
0,1,130.0
0,0,130.0
1,1,130.0
0,1,130.0
0,1,130.0
0,0,130.0
1,1,130.0
0,1,130.0
0,1,130.0
0,0,130.0
1,0,130.0
2,1,130.0
0,1,130.0
0,1,130.0
0,1,130.0
0,0,130.0
1,0,130.0
2,1,130.0
0,1,130.0
0,0,130.0
1,0,130.0
2,1,130.0
0,1,130.0
0,1,130.0
0,0,130.0
1,1,130.0
0,0,130.0
1,1,130.0
0,0,130.0
1,1,130.0
