state,action,reward
0,1,-0.01
0,0,-0.01
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,10.0
1,0,10.0
2,1,10.0
0,0,20.0
1,1,20.0
0,0,20.0
1,0,20.0
2,1,20.0
0,0,20.0
1,0,20.0
2,1,20.0
0,0,20.0
1,0,20.0
2,1,20.0
0,0,20.0
1,0,20.0
2,1,20.0
0,0,30.0
1,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,30.0
1,0,30.0
2,1,30.0
0,0,40.0
1,1,40.0
0,0,40.0
1,0,40.0
2,1,40.0
0,0,40.0
1,0,40.0
2,1,40.0
0,0,40.0
1,0,40.0
2,1,50.0
0,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,0,50.0
2,0,50.0
3,0,50.0
4,1,50.0
0,0,50.0
1,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,1,50.0
0,0,50.0
1,0,50.0
2,1,50.0
0,0,50.0
1,1,50.0
